,SUBID,Non-irrigated arable land,Permanently irrigated land,Olive groves,Agro-forestry areas,Transitional woodland-shrub,Water bodies,Continuous urban fabric,Discontinuous urban fabric,Industrial or commercial units,Mineral extraction sites,Sport and leisure facilities,Rice fields,Vineyards,Pastures,Annual crops associated with permanent crops,Complex cultivation patterns,Land occupied by agriculture with natural vegetation,Broad-leaved forest,Coniferous forest,Mixed forest,Moors and heathland,Sclerophyllous vegetation,Sparsely vegetated areas,Dump sites,Construction sites,Fruit trees and berry plantations,Natural grasslands,Burnt areas,Airports,Road and rail networks,Inland marshes,Salt marshes,Salines,Estuaries,Sea and ocean,Bare rocks,Water courses,"Beaches, dunes, sands",Green urban areas,Port areas,Intertidal flats,Coastal lagoons
0,9500042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9500083.0,10.6,3.6999999999999997,1.4000000000000001,43.6,4.0,1.2,0.3,0.2,0.4,0.0,0.2,0.3,0.8999999999999999,11.0,3.5999999999999996,2.1999999999999997,0.5,8.3,2.9000000000000004,4.3999999999999995,0.1,0.0,,,,,,,,,,,,,,,,,,,,
2,9500088.0,4.5,0.6,5.3,42.4,7.5,0.1,0.4,0.4,0.5,,,,0.4,20.8,0.7000000000000001,1.7000000000000002,1.7999999999999998,12.2,,0.5,,0.3,0.1,,,,,,,,,,,,,,,,,,,
3,9538511.0,6.5,0.4,0.6,17.4,5.1,0.5,,,,,,,0.4,2.0,1.5,,,58.3,0.6,6.7,,,,,,,,,,,,,,,,,,,,,,
4,9538528.0,15.6,1.7999999999999998,8.4,42.199999999999996,4.3999999999999995,0.3,0.4,0.2,,,,,0.2,9.6,2.3,5.800000000000001,,6.7,0.2,0.2,,1.3,,0.2,,,,,,,,,,,,,,,,,,
5,9538562.0,4.0,0.8999999999999999,0.4,17.7,6.5,0.2,,0.0,,,,2.3,,,0.6,0.8,0.3,42.3,6.6000000000000005,17.299999999999997,0.1,,,,,,,,,,,,,,,,,,,,,
6,9538683.0,21.0,4.3,12.5,12.9,3.3000000000000003,0.6,0.0,0.7000000000000001,,,,,8.4,19.2,0.0,5.6000000000000005,0.8,8.7,0.6,,,0.7000000000000001,,,0.2,0.4,,,,,,,,,,,,,,,,
7,9538720.0,4.9,3.1,14.799999999999999,47.0,6.0,4.9,,,,,,,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,
8,9538738.0,15.299999999999999,0.4,4.8,46.1,7.000000000000001,0.3,0.4,0.0,0.2,0.2,,,2.6,3.1,1.9,3.9,0.6,12.8,,0.1,,0.5,,,,,0.1,,,,,,,,,,,,,,,
9,9538760.0,0.4,9.5,,10.7,13.200000000000001,0.8999999999999999,,,0.2,,1.2,2.0,0.5,2.4,,4.5,0.2,41.5,2.7,9.4,,,,,,,0.7000000000000001,,,,,,,,,,,,,,,
10,9538829.0,4.2,2.1,0.5,55.1,3.0,0.4,,0.4,,,,0.7000000000000001,,7.3999999999999995,0.3,0.6,,22.7,,2.7,,,,,,,,,,,,,,,,,,,,,,
11,9539020.0,18.2,3.2,15.299999999999999,35.699999999999996,5.800000000000001,0.3,,0.2,,0.1,,,1.5,2.8000000000000003,1.4000000000000001,1.4000000000000001,1.7000000000000002,11.1,,,,1.0999999999999999,,,,,0.2,,,,,,,,,,,,,,,
12,9539109.0,13.100000000000001,8.5,28.000000000000004,31.900000000000002,4.6,1.5,,0.4,,0.0,,,0.1,0.8,,2.1999999999999997,1.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,
13,9539142.0,18.3,0.8,0.4,49.3,7.7,0.2,0.2,,,,,,1.7000000000000002,10.8,2.5,0.3,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
14,9539147.0,10.299999999999999,4.1000000000000005,7.000000000000001,33.4,1.4000000000000001,0.2,0.1,0.2,,,,,0.5,37.7,0.1,1.0999999999999999,0.2,3.5999999999999996,,,,,,,,,0.1,,,,,,,,,,,,,,,
15,9539288.0,4.1000000000000005,1.4000000000000001,6.7,11.799999999999999,28.9,0.1,,0.3,,0.2,,,,8.5,0.4,3.0,4.8,24.099999999999998,0.1,3.8,0.1,0.7000000000000001,,,,,0.8999999999999999,0.2,,,,,,,,,,,,,,
16,9539314.0,22.0,1.4000000000000001,14.099999999999998,31.2,3.0,,0.4,0.4,0.1,,,,1.7000000000000002,12.1,1.4000000000000001,4.3999999999999995,1.2,5.7,,,,0.8999999999999999,,,,,,,,,,,,,,,,,,,,
17,9539385.0,9.6,5.6000000000000005,0.6,42.699999999999996,2.5,0.5,,0.3,0.2,,,1.0,0.3,3.0,1.6,2.0,0.4,16.2,0.3,13.3,,,,,,,,,,,,,,,,,,,,,,
18,9539454.0,9.9,1.7999999999999998,1.3,43.0,2.3,0.8999999999999999,0.2,0.2,0.1,,0.1,0.3,0.7000000000000001,13.600000000000001,1.9,0.4,0.0,17.9,0.0,4.2,,,,,,0.1,1.0,,,,,,,,,,,,,,,
19,9539171.0,7.7,0.8,4.2,8.5,17.9,,0.5,0.5,0.4,,0.1,0.2,,0.4,1.7000000000000002,3.5999999999999996,5.4,38.4,0.3,9.3,,,,,,,,,,,,,,,,,,,,,,
20,9000991.0,11.4,0.8,8.4,26.8,17.0,0.5,0.0,0.7000000000000001,0.1,,,,0.1,12.7,2.1,1.4000000000000001,1.3,15.1,,,,1.3,,,,,0.2,,,,,,,,,,,,,,,
21,9539056.0,3.4000000000000004,5.8999999999999995,,16.2,7.1,,,0.6,1.2,,,1.9,3.6999999999999997,3.3000000000000003,,12.9,0.8,34.2,1.9,6.800000000000001,,,,,,,,,,,,,,,,,,,,,,
22,9539045.0,21.8,,3.2,45.300000000000004,14.399999999999999,,,,,,,,,13.700000000000001,0.1,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
23,9538888.0,3.5999999999999996,,15.4,65.10000000000001,4.6,,,1.0999999999999999,,,,,,1.4000000000000001,2.0,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,
24,9538529.0,3.5999999999999996,2.6,3.2,9.5,13.700000000000001,1.3,0.2,0.2,,,,1.0,0.1,0.4,1.0999999999999999,1.3,0.8999999999999999,47.8,0.2,11.600000000000001,,,,,,0.1,0.6,,0.5,,,,,,,,,,,,,
25,9000992.0,14.399999999999999,2.5,12.6,47.4,5.0,1.5,,0.2,,,,,1.5,8.799999999999999,1.2,,0.1,4.7,,,,0.0,,,,,,,,,,,,,,,,,,,,
26,9538600.0,8.3,7.5,14.399999999999999,26.400000000000002,2.0,0.6,0.5,0.1,,,,,0.5,25.0,2.1,3.2,,7.3999999999999995,0.1,,,1.2,,,0.4,,0.4,,,,,,,,,,,,,,,
27,9539377.0,5.5,4.3999999999999995,,10.2,4.0,0.3,,,,,,,,1.5,,1.4000000000000001,,32.1,3.3000000000000003,37.3,,,,,,,,,,,,,,,,,,,,,,
28,9539539.0,0.1,9.5,,3.1,12.7,,,,0.2,,,3.2,2.5,1.2,,4.8,,42.9,10.100000000000001,9.6,,,,,,,0.1,,,,,,,,,,,,,,,
29,9538756.0,2.3,6.3,,28.1,7.3,,,2.9000000000000004,1.7999999999999998,0.8,1.0999999999999999,16.400000000000002,,3.3000000000000003,,6.1,,13.100000000000001,2.1,7.000000000000001,,,,,0.2,0.3,0.0,,,0.6,,,,,,,,,,,,
30,9500074.0,5.3,0.1,9.5,8.6,4.2,44.9,,,,,,,,0.8,,0.4,,5.6000000000000005,,20.599999999999998,,,,,,,,,,,,,,,,,,,,,,
31,9539583.0,17.1,3.2,30.7,36.0,0.8999999999999999,2.1,0.4,0.3,,,,,0.5,0.3,3.4000000000000004,,0.2,4.8,,,,,,,,,,,,,,,,,,,,,,,,
32,9538808.0,3.3000000000000003,3.3000000000000003,3.1,17.9,8.1,1.3,,0.3,,,,0.5,,0.1,1.3,2.9000000000000004,4.5,36.5,1.0,15.4,0.3,,,,,,0.2,,,,,,,,,,,,,,,
33,9500024.0,5.5,3.0,24.099999999999998,17.0,3.9,30.3,1.5,1.2,,,,,0.7000000000000001,,,5.3,0.5,7.000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
34,9539347.0,18.5,20.3,2.5,36.199999999999996,7.8,,,,,,,,,1.0,,,,12.3,,1.3,,,,,,,,,,,,,,,,,,,,,,
35,9539173.0,7.000000000000001,8.3,1.0,38.2,5.6000000000000005,0.4,0.4,0.5,,,,,0.4,1.7999999999999998,1.9,0.8,0.2,22.900000000000002,1.7000000000000002,7.7,,,,,,0.8,0.4,,,,,,,,,,,,,,,
36,9538909.0,,18.9,,4.2,7.3,,,1.0999999999999999,,,,4.1000000000000005,,0.3,,5.800000000000001,1.7999999999999998,41.6,2.0,12.9,,,,,,,,,,,,,,,,,,,,,,
37,9539203.0,1.4000000000000001,14.6,,3.4000000000000004,9.9,0.4,,,,,,3.3000000000000003,,1.2,,3.5999999999999996,6.800000000000001,25.7,5.4,23.599999999999998,,,,,,,0.8999999999999999,,,,,,,,,,,,,,,
38,9539274.0,5.2,26.3,,0.1,4.8,,0.6,1.0,0.4,,,15.9,,,,16.8,5.3,4.1000000000000005,,19.5,,,,,,,,,,,,,,,,,,,,,,
39,9539350.0,1.6,8.5,,10.5,8.5,0.4,0.3,0.4,0.5,0.1,0.5,12.4,0.2,2.6,0.2,11.799999999999999,0.8,14.799999999999999,2.0,24.0,,,,,,,0.0,,,,,,,,,,,,,,,
40,9000132.0,,26.0,,5.800000000000001,3.5999999999999996,0.6,0.8999999999999999,1.7000000000000002,1.5,,,21.4,0.6,14.899999999999999,,3.4000000000000004,,8.1,1.7000000000000002,0.3,,,,,0.0,,0.4,,,,0.3,3.0,1.0999999999999999,4.7,1.0999999999999999,,,,,,,
41,9500098.0,4.8,1.3,0.2,0.2,28.000000000000004,0.0,,0.5,,,,,0.3,0.3,,9.4,6.4,3.0,9.2,7.6,16.400000000000002,,8.1,,,4.0,0.2,,,,,,,,,0.1,,,,,,
42,9500131.0,,,,,0.8999999999999999,14.7,,,,,,,,,,1.6,,8.4,8.799999999999999,,,,,,,,,65.4,,,,,,,,,,,,,,
43,9500137.0,35.4,0.5,11.799999999999999,,6.9,0.6,,0.5,,,,,0.3,,,11.799999999999999,3.4000000000000004,11.700000000000001,1.9,1.0,,9.9,0.6,,,,3.5000000000000004,,,,,,,,,,,,,,,
44,9500145.0,75.9,,,,0.4,6.800000000000001,,,,,,,,,,1.5,1.9,,13.4,,,,,,,,,,,,,,,,,,,,,,,
45,9500179.0,,,,61.9,0.8,,,,,,,,,1.5,,,,,,,,30.7,,,,,5.2,,,,,,,,,,,,,,,
46,9500191.0,1.2,,5.4,6.7,23.3,,,0.4,,,,,,4.9,0.5,1.2,4.2,37.3,,,,13.900000000000002,,,,,,,,,,,,,,,1.0,,,,,
47,9500212.0,4.6,,,14.000000000000002,5.0,,,,,,,,,7.1,,,10.2,55.00000000000001,,,,3.6999999999999997,,,,,,,,,,,,,,,0.4,,,,,
48,9500466.0,20.0,,2.6,,6.4,3.2,,,,,,,,,,,2.8000000000000003,24.0,,31.0,,1.0,,,,,9.1,,,,,,,,,,,,,,,
49,9500470.0,17.2,,3.9,,7.6,1.5,,0.6,,,,,,0.4,,3.3000000000000003,3.2,23.799999999999997,3.2,10.8,,13.3,0.5,,,,10.8,,,,,,,,,,,,,,,
50,9500649.0,,,3.9,,69.0,3.5999999999999996,,1.0999999999999999,,,,,,,0.8,4.8,6.2,6.7,2.5,1.5,,,,,,,,,,,,,,,,,,,,,,
51,9500652.0,,,,,67.60000000000001,2.9000000000000004,,,,,,,,,3.5999999999999996,,0.1,0.8999999999999999,23.200000000000003,,1.7999999999999998,,,,,,,,,,,,,,,,,,,,,
52,9500704.0,,,,9.3,,65.60000000000001,0.2,1.7000000000000002,,,,,,9.3,,,,3.0,,,,,,,,,11.0,,,,,,,,,,,,,,,
53,9500872.0,1.4000000000000001,6.5,17.7,9.4,3.6999999999999997,0.0,0.7000000000000001,,,,,,,,,,,6.3,,,,8.799999999999999,1.9,,,,42.4,,,,,,,,,,1.0999999999999999,,,,,
54,9500877.0,17.4,,,7.7,0.2,0.1,,,,,,,,14.399999999999999,,,,,,,,9.5,,,,,50.7,,,,,,,,,,,,,,,
55,9500902.0,1.0999999999999999,,0.1,52.1,5.1,0.1,0.1,0.2,,,,,,,,0.2,1.5,1.9,,,,21.099999999999998,0.0,,,,16.6,,,,,,,,,,,,,,,
56,9500904.0,3.6999999999999997,,1.7000000000000002,41.199999999999996,8.5,,0.4,,,,,,,28.4,,,0.5,2.0,,,,9.0,,,,,3.5999999999999996,,,0.4,,,,,,,0.5,,,,,
57,9500914.0,,,3.3000000000000003,61.4,4.8,,0.8,,,,,,,,,2.6,5.8999999999999995,3.5000000000000004,,1.2,,6.4,1.2,,,,7.9,,,,,,,,,,1.0999999999999999,,,,,
58,9500916.0,0.8,,,15.0,14.2,4.3999999999999995,2.7,1.5,0.8999999999999999,,,,,23.1,,3.1,,,,,,12.9,,,,,21.4,,,,,,,,,,,,,,,
59,9500938.0,,,5.6000000000000005,,46.1,,,,,,,,,,,1.0,4.0,3.9,,2.5,1.5,21.8,,,,,,,,,,,,,,,13.5,,,,,
60,9501257.0,6.0,,21.8,10.299999999999999,3.2,0.7000000000000001,0.4,,,,,,,,,,3.2,16.400000000000002,,,,29.7,,,,,8.200000000000001,,,,,,,,,,,,,,,
61,9501431.0,,0.3,4.2,,10.0,,,0.2,,,,,,0.5,,,0.2,7.000000000000001,45.4,4.2,,23.5,0.7000000000000001,,,,1.7000000000000002,,,,,,,,,0.5,1.7000000000000002,,,,,
62,9521760.0,4.6,0.7000000000000001,0.4,,7.199999999999999,,0.2,0.1,,,,,,,,1.0999999999999999,0.5,2.3,67.60000000000001,4.3999999999999995,,2.4,0.4,,,,8.1,,,,,,,,,,,,,,,
63,9521852.0,24.8,,,,4.5,,,,,,,,,,,,1.4000000000000001,21.9,11.200000000000001,13.700000000000001,,4.6,,,,,17.9,,,,,,,,,,,,,,,
64,9521868.0,7.5,0.2,,,2.8000000000000003,,0.0,0.1,,,,,,,,,3.1,2.1999999999999997,41.0,3.6999999999999997,,4.8,0.7000000000000001,,,,33.800000000000004,,,,,,,,,,,,,,,
65,9521943.0,1.0999999999999999,1.3,,,4.6,0.2,,,0.1,,,,,0.1,,0.4,1.0,2.8000000000000003,63.0,1.6,,2.7,0.2,,,,20.9,,,,,,,,,,,,,,,
66,9521989.0,1.4000000000000001,,,,7.5,,,0.1,,,,,,0.2,,,3.1,0.3,59.4,0.8,,9.6,0.2,,,,17.4,,,,,,,,,,,,,,,
67,9522105.0,13.4,1.0999999999999999,,,10.8,,0.1,,,,,,,,,,4.7,4.0,47.5,4.3999999999999995,,8.1,0.8,,,,5.1,,,,,,,,,,,,,,,
68,9522125.0,33.6,0.1,,,2.9000000000000004,,0.1,0.2,0.0,0.4,,,,,,,2.8000000000000003,5.3,12.2,3.9,,15.8,0.6,,,,21.9,,,,0.1,,,,,,,,,,,
69,9522154.0,5.5,2.5,,,12.3,,,,,,,,,,,,1.2,6.4,19.5,10.4,,20.9,0.1,,,,20.9,,,,,,,,,0.2,,,,,,
70,9522258.0,33.5,1.5,3.2,,7.1,,,0.2,,,,,,0.2,,1.6,3.2,6.6000000000000005,18.8,9.1,,2.1,0.4,,,,12.5,,,,,,,,,,,,,,,
71,9535199.0,1.0,7.000000000000001,1.7999999999999998,2.1,40.5,,,0.5,,,,,,,,2.3,5.3,32.7,,6.800000000000001,,,,,,,,0.1,,,,,,,,,,,,,,
72,9535200.0,,,0.3,,36.5,1.0999999999999999,,0.2,,,,,,,0.1,1.3,1.6,3.2,5.2,2.8000000000000003,14.499999999999998,,0.1,,,,,32.9,,,,,,,,0.2,,,,,,
73,9535206.0,7.3999999999999995,,11.5,14.899999999999999,13.600000000000001,,0.1,0.3,,,,,,24.4,0.6,1.0999999999999999,5.0,10.2,,,1.3,8.799999999999999,0.3,,,,0.8,,,,,,,,,,,,,,,
74,9535211.0,,,0.0,,63.0,0.8999999999999999,,1.0,,,,,,,1.7999999999999998,3.1,3.1,3.9,18.0,1.3,2.8000000000000003,,,,,,,1.2,,,,,,,,,,,,,,
75,9535222.0,2.4,7.5,28.9,0.6,8.6,,0.5,3.2,0.3,0.0,,,0.3,,4.0,11.4,10.5,4.2,0.3,2.3,2.1999999999999997,12.4,,,,0.0,0.2,,,0.1,,,,,,,0.0,0.0,,,,
76,9535226.0,,,2.5,,43.3,0.4,,,0.2,,,,,,0.3,3.5000000000000004,15.9,7.7,16.2,7.7,2.0,,,,,,,0.2,,,,,,,,,,,,,,
77,9535229.0,2.7,0.7000000000000001,0.2,,36.5,0.2,,0.8,,,0.2,,,,,6.5,1.7999999999999998,0.3,16.6,0.7000000000000001,16.5,,14.7,,,0.6,0.4,0.8,,,,,,,,,,,,,,
78,9535237.0,,,2.3,,67.60000000000001,,,0.6,0.2,,,,,,0.8999999999999999,4.6,4.3999999999999995,6.3,11.700000000000001,0.2,1.0999999999999999,,,,,,,,,,,,,,,,0.0,,,,,
79,9535266.0,7.3,4.7,0.4,0.1,21.099999999999998,,,0.2,,,,,1.7999999999999998,1.6,,16.6,9.6,0.5,1.5,1.6,26.0,,3.3000000000000003,,,2.1,0.8999999999999999,,,,,,,,,0.7000000000000001,,,,,,
80,9535267.0,2.6,0.4,5.800000000000001,10.7,16.0,0.3,,0.3,,,0.3,,,1.0999999999999999,,9.0,9.5,9.2,2.3,2.1,,16.7,11.200000000000001,,,,1.9,,,,,,,,,0.7000000000000001,,,,,,
81,9535271.0,22.5,0.2,4.1000000000000005,3.2,14.899999999999999,2.1999999999999997,0.6,2.8000000000000003,0.8999999999999999,0.2,0.1,,,2.3,1.3,17.2,13.8,1.3,3.6999999999999997,0.8999999999999999,2.0,4.7,0.2,,,0.6,0.4,,,,,,,,,,,,0.1,,,
82,9535273.0,,,2.4,,26.400000000000002,7.9,0.4,,,,,,,,3.0,12.6,6.4,15.6,1.0999999999999999,21.099999999999998,,,,,,,,3.0,,,,,,,,,,,,,,
83,9535278.0,,,0.8,,4.9,0.1,,2.5,0.1,0.1,,,0.7000000000000001,,1.0,9.0,7.7,8.799999999999999,2.3,12.1,2.1999999999999997,1.7999999999999998,,,,,,45.800000000000004,,0.2,,,,,,,,,,,,
84,9535280.0,,,0.0,,29.099999999999998,1.7999999999999998,,0.1,0.4,,,,,,2.0,1.4000000000000001,4.2,6.1,25.5,3.9,2.7,,,,,,,22.6,,,,,,,,,,,,,,
85,9535295.0,2.1999999999999997,0.1,4.0,19.3,3.3000000000000003,0.1,0.5,0.2,0.2,,,,,1.4000000000000001,,2.0,2.0,3.6999999999999997,0.1,0.3,,36.6,12.8,,,0.1,11.0,,,,,,,,,0.1,,,,,,
86,9535354.0,1.3,0.8999999999999999,,54.300000000000004,4.3999999999999995,,,0.3,,,,,,6.2,,0.6,0.1,1.6,,,,19.1,0.6,,,,10.299999999999999,,,,,,,,,,0.2,,,,,
87,9535370.0,5.8999999999999995,,7.5,12.4,33.4,,,,,,,,,5.2,1.0999999999999999,4.3,2.7,19.400000000000002,,0.8,,3.9,,,,,,3.4000000000000004,,,,,,,,,,,,,,
88,9535382.0,,,0.1,,67.30000000000001,0.1,,0.1,0.3,,,,,,2.9000000000000004,3.4000000000000004,3.1,3.2,8.0,2.7,8.6,,,,,,,,,,,,,,,,,,,,,
89,9535398.0,3.9,,5.8999999999999995,13.0,13.0,0.8999999999999999,0.1,0.1,,,,,,4.9,0.8,5.0,14.299999999999999,20.4,0.0,0.8999999999999999,,16.5,0.1,,,,0.3,,,,,,,,,,,,,,,
90,9535483.0,0.7000000000000001,,3.6999999999999997,0.1,48.5,,,0.2,,,,,0.1,0.2,3.0,6.1,6.6000000000000005,4.3,25.0,0.8999999999999999,0.2,0.3,,,,,0.1,0.0,,,,,,,,,,,,,,
91,9535491.0,0.2,,2.3,,65.8,,,,,,,,,,2.1,2.4,5.7,2.1,14.399999999999999,0.1,2.3,0.8,,,,,,1.7999999999999998,,,,,,,,,,,,,,
92,9535498.0,,,,,65.0,,,,,,,,,,,,3.8,30.9,,,,0.3,,,,,,,,,,,,,,,,,,,,
93,9535532.0,0.5,,3.1,48.699999999999996,0.6,,0.3,,,,,,,9.5,,,0.4,4.8,0.8999999999999999,,,26.5,,,,,4.6,,,,,,,,,,,,,,,
94,9535579.0,,,,,55.800000000000004,0.0,,0.7000000000000001,0.4,,,,,,3.1,2.7,7.1,1.7000000000000002,19.3,6.4,2.6,,,,,0.1,,,,,,,,,,,,,,,,
95,9535626.0,0.4,1.7000000000000002,8.4,,18.7,,,2.1999999999999997,0.5,0.1,,,0.8,0.0,1.9,11.0,11.899999999999999,12.5,11.799999999999999,8.7,0.3,8.5,,,,,0.6,,,,,,,,,,,,,,,
96,9535640.0,9.700000000000001,5.0,3.5999999999999996,0.5,25.7,0.5,0.4,0.3,0.3,0.1,,,0.5,1.0999999999999999,0.3,12.4,7.1,4.9,11.200000000000001,4.5,4.3,2.5,0.3,,,3.9,0.8,,,,,,,,,0.1,,,,,,
97,9535678.0,,,,,38.6,,,,,,,,,5.7,15.2,0.6,12.7,6.0,,21.2,,,,,,,,,,,,,,,,,,,,,,
