NUTS_ID,2018,2019,2020,2021,2022,2023
NL112,46000,46000,46000,45000,45000,45000
NL114,135000,135000,135000,136000,137000,138000
NL115,402000,404000,405000,407000,411000,416000
NL126,187000,188000,188000,188000,189000,190000
NL127,319000,320000,321000,322000,325000,328000
NL128,141000,141000,142000,142000,142000,143000
NL131,192000,192000,193000,193000,195000,196000
NL132,168000,168000,168000,168000,170000,171000
NL133,132000,133000,134000,135000,136000,137000
NL211,370000,373000,376000,379000,383000,386000
NL212,155000,156000,157000,158000,159000,160000
NL213,629000,630000,631000,633000,636000,640000
NL221,686000,692000,698000,704000,711000,719000
NL224,243000,245000,248000,250000,253000,255000
NL225,401000,401000,402000,403000,405000,406000
NL226,737000,741000,744000,747000,753000,761000
NL230,414000,420000,426000,432000,440000,448000
NL321,375000,377000,379000,380000,383000,386000
NL323,198000,199000,199000,199000,200000,201000
NL325,172000,173000,173000,173000,175000,177000
NL327,254000,256000,258000,260000,252000,244000
NL328,246000,248000,250000,252000,254000,256000
NL32A,228000,230000,231000,231000,233000,235000
NL32B,1370000,1385000,1394000,1404000,1434000,1464000
NL341,105000,105000,105000,105000,106000,106000
NL342,277000,278000,279000,281000,283000,286000
NL350,1336000,1348000,1358000,1366000,1379000,1394000
NL361,868000,878000,886000,892000,903000,914000
NL362,230000,232000,234000,235000,239000,243000
NL363,426000,429000,431000,433000,437000,443000
NL364,370000,371000,372000,374000,377000,380000
NL365,330000,333000,336000,339000,343000,347000
NL366,1436000,1448000,1458000,1466000,1480000,1495000
NL411,633000,635000,636000,639000,643000,649000
NL414,770000,777000,782000,788000,797000,806000
NL415,484000,488000,492000,495000,501000,506000
NL416,650000,654000,658000,662000,669000,675000
NL421,282000,282000,283000,284000,287000,290000
NL422,237000,237000,238000,239000,240000,242000
NL423,598000,597000,596000,594000,596000,599000
SI031,114750,114380,114540,114580,114200,113940
SI032,322260,324830,326930,327690,327960,329690
SI033,70670,70670,70930,70660,70670,70660
SI034,255940,257390,258670,258770,259390,261090
SI035,57100,57050,57220,56940,56960,57270
SI036,75490,75800,76080,75760,75770,75960
SI037,143510,144670,146040,145930,146470,147380
SI038,52360,52810,53160,53280,53420,53950
SI041,544470,552140,555530,555630,557040,564190
SI042,203760,205690,208110,211570,210810,209280
SI043,117460,117990,118570,118400,118240,118340
SI044,114190,115600,117020,118530,118460,118780